Squad,#Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Squad_id,League_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Passes_Cmp
Real Sociedad,22,23.5,61.2,12,132,"1,080",24,20,2,2,17,0,22.2,20.7,16.4,c21f25d3,230,206,75,18.1,6,0.10,+1.8,+1.3,6735,99111,36743,149,454,93,23,352,263,32,15,22,11,9,41,27,5,1,3,4,1,211,86,97,28,118,29,89,142,186,3,8036,790,2652,3563,1881,281,8034,83,198,5267,467,55,51,1.58,25,16,+9,22.2,15.3,+6.9,0,101,106,32,184,122,1,1,795,139,71,0
Sevilla,22,27.1,49.1,12,132,"1,080",18,12,1,1,25,5,17.2,16.4,11.7,215d9026,230,141,52,16.9,6,0.12,+0.8,+0.6,4764,65815,30304,96,291,84,30,223,147,27,9,15,20,5,28,19,2,5,1,1,0,256,134,88,34,145,41,104,141,200,3,6105,659,2225,2500,1457,217,6104,73,172,3285,307,55,36,1.00,19,22,-3,17.2,15.7,+1.5,2,116,139,41,201,153,4,2,741,120,91,0
Sporting Huelva,20,26.5,36.8,12,132,"1,080",12,9,1,1,14,1,9.2,8.4,6.0,27acb0af,230,104,44,20.8,7,0.08,+2.8,+2.6,3671,39706,22517,71,217,42,11,157,111,17,6,7,14,2,20,13,2,2,2,1,0,215,92,96,27,131,41,90,163,244,2,4976,680,1949,2048,1037,112,4975,46,110,1896,219,35,33,1.25,12,22,-10,9.2,23.2,-14.0,0,150,111,23,120,133,2,1,717,134,140,0
UDG Tenerife,26,27.9,47.5,11,121,990,9,4,1,2,24,1,10.0,8.4,5.3,4c088abe,230,117,47,20.6,13,0.07,-1.0,-0.4,4004,52120,22902,71,208,55,18,187,115,31,9,8,20,4,13,7,1,1,1,3,0,188,97,68,23,114,30,84,137,217,2,5248,694,2148,2050,1112,166,5246,72,146,2464,200,51,33,1.09,9,13,-4,10.0,11.0,-1.0,1,105,134,28,164,130,1,1,633,101,127,0
Valencia,26,24.0,49.8,12,132,"1,080",14,8,1,4,19,0,15.6,12.5,8.7,f96ff499,230,153,56,19.3,10,0.08,-1.6,+0.5,4682,58073,27198,104,251,57,12,245,144,39,15,21,22,4,21,17,0,1,2,1,0,225,110,88,27,141,37,104,133,170,0,6074,780,2413,2388,1357,243,6070,88,206,3114,249,45,57,1.25,14,13,+1,15.6,13.2,+2.4,0,119,157,27,154,150,0,1,726,101,114,0
Villarreal,23,26.1,43.8,12,132,"1,080",11,8,1,1,22,1,12.4,12.0,8.5,7a7bef84,230,129,42,18.7,7,0.09,-1.4,-2.0,4123,47884,24080,85,244,60,27,203,129,29,8,13,17,7,16,12,2,1,0,0,1,280,106,127,47,165,31,134,151,207,4,5494,601,1833,2377,1329,172,5493,38,127,2409,251,53,34,0.83,12,31,-19,12.4,17.9,-5.4,1,162,102,43,187,158,0,3,716,134,132,0
Arsenal,20,27.3,60.4,9,99,810,24,16,0,1,5,0,17.7,17.0,12.8,411b1108,189,186,67,16.2,4,0.09,+6.3,+7.0,5083,79921,28238,141,371,130,19,299,223,25,7,29,10,5,36,26,3,2,4,1,0,126,38,65,23,95,17,78,88,68,1,5810,486,1811,2436,1607,306,5808,41,80,4073,365,38,38,2.67,25,5,+20,17.7,6.2,+11.5,0,71,86,24,168,95,0,0,515,54,44,4138
Aston Villa,20,26.5,49.9,9,99,810,13,8,3,4,10,0,11.3,8.2,5.2,53157aa8,189,118,40,18.3,4,0.07,+1.7,+1.8,4254,60191,24529,89,313,60,20,196,147,18,4,9,11,7,20,14,1,0,1,3,1,158,71,64,23,120,43,77,110,105,1,5070,524,1774,1928,1415,185,5066,33,98,3218,245,23,29,1.33,13,19,-6,11.3,10.3,+1.0,0,85,79,16,198,111,0,1,523,53,63,3266
Brighton,17,26.3,40.8,8,88,720,11,4,2,2,8,1,10.4,9.0,4.3,fa2752bc,189,86,31,17.7,2,0.11,+0.6,0.0,3059,39858,17694,49,124,43,10,139,109,2,3,12,6,7,16,12,0,1,2,1,0,128,58,55,15,96,33,63,115,99,1,3774,612,1737,1362,725,122,3772,23,55,2064,135,19,32,0.88,11,29,-18,10.4,16.7,-6.3,0,61,56,12,93,80,0,2,433,41,58,2103
Chelsea,23,27.7,60.4,10,110,900,31,20,4,5,1,0,19.8,16.0,12.0,a6a4e67d,189,173,69,15.8,0,0.09,+11.2,+11.0,5864,95075,35338,137,405,128,17,301,225,34,6,22,10,4,52,34,5,4,5,3,1,170,75,69,26,102,24,78,110,76,0,6706,647,2238,2781,1737,360,6701,46,92,4641,394,43,47,2.70,31,8,+23,19.8,7.6,+12.2,0,69,95,26,151,123,2,1,550,86,46,4718
