Player,Pos,Squad,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CleanSheets,PKatt,PKA,PKsv,PKm,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,GoalKicks_Att,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist
Elena de Toro,GK,Villarreal,10,10,890,28,57,32,2,1,6,1,0,0,0,0,2,4,3,16.4,0.29,-8.6,50,162,243,21,36.8,69,49.1,155,2,27,18.9
Paola Ulloa,GK,Madrid CFF,10,10,900,8,37,28,7,1,2,5,1,0,1,0,0,1,0,9.3,0.23,+1.3,20,48,127,35,30.0,90,24.5,122,7,12,12.7
Jana Xin,GK,Alavés,5,5,450,15,39,25,0,1,4,0,0,0,0,0,0,0,1,9.4,0.24,-4.6,16,70,155,29,33.4,54,32.6,114,6,1,8.8
Mackenzie Arnold,GK,West Ham,7,7,619,9,37,26,3,0,3,2,1,0,1,0,0,2,0,8.7,0.18,-0.3,45,148,206,42,39.3,69,40.8,124,6,5,11.6
Ann-Katrin Berger,GK,Chelsea,8,8,720,4,22,18,8,0,0,4,0,0,0,0,0,1,1,5.4,0.25,+2.4,37,52,280,30,26.9,44,27.5,64,6,3,12.6
Courtney Brosnan,GK,Everton,5,5,450,7,18,11,2,0,3,2,1,1,0,0,0,1,0,5.1,0.23,-1.9,8,28,139,28,25.8,37,26.6,66,8,5,10.7
Jackie Burns,GK,Reading,6,6,514,10,26,17,2,0,3,1,1,0,1,0,0,1,2,6.5,0.21,-1.5,24,76,147,19,36.1,50,38.9,83,3,4,14.9
Eartha Cumings,GK,Liverpool,2,2,180,6,12,6,0,2,0,0,1,1,0,0,0,0,0,3.4,0.20,-2.6,5,22,82,11,28.3,14,27.4,36,2,3,10.3
Mary Earps,GK,Manchester Utd,8,8,720,5,24,19,7,0,1,6,0,0,0,0,0,0,0,4.4,0.18,-0.6,19,36,316,34,22.7,40,29.4,88,5,8,14.7
Hannah Hampton,GK,Aston Villa,3,3,270,8,20,12,2,0,1,1,0,0,0,0,0,1,0,5.2,0.26,-2.8,16,37,88,9,33.7,19,41.9,40,2,0,7.5
Sophie Hillyerd,GK,West Ham,3,2,191,9,19,9,0,0,2,0,2,2,0,0,0,2,0,5.8,0.21,-3.2,10,44,37,3,46.9,24,48.5,35,0,0,8.9
Tinja-Riikka Korpela,GK,Tottenham,3,3,270,3,17,13,2,0,1,2,1,1,0,0,0,1,0,3.0,0.12,0.0,12,27,117,18,25.7,22,25.7,41,1,5,14.7
Demi Lambourne,GK,Leicester City WFC,2,2,180,9,15,6,0,0,2,0,0,0,0,0,0,1,0,6.6,0.44,-2.4,10,23,56,8,30.8,14,32.4,19,0,2,14.4
Rachael Laws,GK,Liverpool,7,7,630,10,32,23,2,0,5,1,2,2,0,0,0,2,1,8.5,0.21,-0.5,52,163,316,22,36.5,55,42.6,102,5,5,12.2
Anna Leat,GK,Aston Villa,5,5,450,7,19,12,2,0,3,1,0,0,0,0,0,1,0,3.5,0.18,-3.5,12,30,126,23,25.1,25,32.5,36,0,1,13.4
Kirstie Levell,GK,Leicester City WFC,7,7,630,16,37,21,0,0,7,0,2,1,1,0,0,2,1,9.7,0.21,-5.3,43,97,192,18,33.6,48,38.6,109,3,2,11.0
Sandy MacIver,GK,Manchester City,2,2,180,1,4,3,2,0,0,1,0,0,0,0,0,1,0,0.5,0.11,-0.5,2,10,67,8,25.4,5,28.4,18,0,4,20.3
Grace Moloney,GK,Reading,4,3,291,10,22,12,0,1,2,0,2,2,0,0,0,2,0,6.0,0.18,-4.0,7,21,86,14,26.8,26,20.4,61,0,2,13.7
Zecira Musovic,GK,Chelsea,1,1,90,2,2,0,0,0,1,0,2,2,0,0,0,0,0,2.0,0.00,0.0,5,10,24,1,30.8,6,37.2,1,0,1,14.3
Emily Ramsey,GK,Everton,3,3,270,3,23,20,1,0,2,1,0,0,0,0,0,0,0,6.2,0.27,+3.2,6,15,99,25,21.6,15,25.8,51,1,4,15.6
Ellie Roebuck,GK,Manchester City,6,6,540,8,16,8,4,0,2,2,1,1,0,0,0,1,0,6.1,0.33,-1.9,6,16,232,24,20.4,32,26.4,40,1,2,11.5
Rebecca Spencer,GK,Tottenham,4,4,360,9,19,12,1,0,3,0,0,0,0,0,0,3,2,5.4,0.28,-1.6,11,35,107,7,31.4,25,29.0,64,1,1,14.1
Megan Walsh,GK,Brighton,8,8,720,29,62,32,2,1,5,0,0,0,0,0,0,3,2,18.2,0.29,-8.8,30,103,276,42,31.6,86,31.0,114,9,7,12.3
Manuela Zinsberger,GK,Arsenal,8,8,720,4,24,19,7,0,1,6,0,0,0,0,0,1,0,3.9,0.16,-0.1,12,33,367,29,23.3,29,21.3,63,4,5,14.7
