Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Julia Landenberger,de GER,MF,Bayern Munich,18-354,2003,1,0,4,0,0,0,0,0,0,0.1,0.1,0.0,2ff444b6,51ec22be,1,0,24.6,0,0.06,-0.1,-0.1,3,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,5,0,0,2,0,1,2,3.00,1,0,+1,+15.00,0.2,0.1,+0.1,+2.47,0,0,0,0,0,0,0,0,2,0,0
Lena Lattwein,de GER,MF,Wolfsburg,22-223,2000,9,9,760,0,1,0,0,0,0,1.4,1.4,1.3,22cd470c,a1393014,13,4,16.2,0,0.11,-1.4,-1.4,331,427,5740,1587,13,33,14,3,19,5,11,3,7,2,5,11,10,0,514,17,93,277,145,22,514,1,3,312,21,0,0,2.00,20,17,+3,-5.55,13.8,10.5,+3.3,-1.52,0,8,3,1,8,9,0,0,68,18,8
Emelyne Laurent,fr FRA,"FW,MF",Bayern Munich,24-037,1998,8,1,243,0,1,0,0,0,0,1.2,1.2,1.0,29714e3f,51ec22be,9,2,12.9,0,0.14,-1.2,-1.2,76,109,1163,242,7,9,3,1,4,2,0,2,0,0,0,1,0,0,134,1,13,38,83,20,134,6,9,105,21,6,1,0.25,2,9,-7,-1.39,2.6,5.9,-3.3,-0.67,0,3,2,1,14,3,0,0,8,1,3
Vanessa Leimenstoll,de GER,"FW,DF",Hoffenheim,21-285,2001,5,0,31,1,0,0,0,1,0,0.3,0.3,0.0,81b66ed2,87705c62,2,1,8.9,0,0.16,+0.7,+0.7,6,10,79,43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,1,4,4,9,5,17,1,2,12,5,7,0,2.67,14,1,+13,+3.04,10.3,1.1,+9.1,+2.07,0,1,0,0,1,0,0,0,1,0,1
Ashley Leonhart,de GER,"FW,MF",MSV Duisburg,17-087,2005,8,3,375,1,0,0,0,0,0,0.4,0.4,0.0,d4e309d6,0580d9a9,3,2,14.9,0,0.12,+0.6,+0.6,40,65,632,191,1,2,2,2,7,4,1,2,5,0,5,1,4,0,107,2,25,57,25,5,107,1,4,55,5,3,5,2.00,0,1,-1,-3.52,0.3,0.3,0.0,-1.01,0,3,4,0,3,3,0,0,14,0,3
Sarai Linder,de GER,DF,Hoffenheim,23-046,1999,9,7,631,0,1,0,0,1,0,0.2,0.2,0.1,bedec045,87705c62,2,0,19.7,0,0.08,-0.2,-0.2,312,431,5859,1897,2,17,4,2,22,13,7,2,10,2,8,10,29,0,515,38,238,218,64,6,515,5,15,287,8,0,0,0.80,2,10,-8,+0.33,4.9,5.3,-0.4,+0.81,0,7,3,2,12,16,0,0,48,2,1
Sydney Lohmann,de GER,"MF,FW",Bayern Munich,22-175,2000,7,5,454,1,1,0,0,0,0,0.5,0.5,0.9,f149a5a9,51ec22be,9,3,21.6,0,0.06,+0.5,+0.5,140,189,2156,670,5,11,10,0,8,1,7,0,2,0,2,4,3,0,244,5,24,131,94,20,244,14,23,179,32,0,0,2.30,23,13,+10,+1.01,17.4,7.1,+10.3,,0,1,6,1,6,5,0,0,29,3,2
Chiara Loos,de GER,FW,Freiburg,25-335,1997,8,4,430,2,2,0,0,0,0,0.7,0.7,1.4,e880235f,b4de690d,3,3,9.7,0,0.24,+1.3,+1.3,56,106,886,358,6,4,5,3,10,7,1,2,6,0,6,2,2,0,158,4,38,58,67,22,158,3,10,95,29,0,3,1.50,9,12,-3,+0.83,8.1,9.8,-1.6,-0.27,0,3,5,6,10,6,0,0,27,0,2
Nina Lührßen,de GER,DF,Werder Bremen,23-020,1999,9,8,747,2,1,0,0,3,0,0.8,0.8,1.0,e070cdf6,7adbf480,15,5,23.0,4,0.05,+1.2,+1.2,212,435,4176,2590,15,35,7,4,20,10,7,3,16,2,14,17,17,0,538,15,126,229,191,14,537,2,8,175,14,0,9,,,,,,,,,,0,10,5,0,74,14,0,0,60,3,3
Lina Magull,de GER,"MF,FW",Bayern Munich,28-118,1994,8,6,462,2,0,0,0,0,0,1.8,1.8,0.1,3cd04ba1,51ec22be,18,8,17.9,3,0.10,+0.2,+0.2,201,241,3113,646,2,15,7,1,8,2,4,2,2,0,2,7,1,0,303,3,37,153,114,24,303,5,8,225,42,2,0,1.50,1,1,0,+2.19,2.0,2.4,-0.4,-0.08,0,4,10,2,12,3,0,0,23,2,6
Ena Mahmutovic,de GER,GK,MSV Duisburg,18-353,2003,8,8,720,0,0,0,0,0,0,0.0,0.0,0.0,a184766b,0580d9a9,0,0,,0,,0.0,0.0,219,383,7384,6042,0,8,0,0,0,0,0,0,0,0,0,0,5,1,414,360,410,4,0,0,414,0,0,118,0,1,6,3.00,0,0,0,-0.11,0.2,0.2,0.0,+0.35,0,0,0,0,0,0,0,0,18,7,0
Ramona Maier,de GER,FW,Essen,27-083,1995,8,5,510,1,0,0,0,0,0,2.8,2.8,0.4,7f2c8da2,becc1dd0,14,6,13.0,0,0.20,-1.8,-1.8,69,117,1125,363,8,10,5,2,7,0,4,3,8,0,8,0,1,0,199,1,11,81,111,27,199,5,18,122,27,1,0,1.20,14,12,+2,+2.04,12.7,9.6,+3.1,+0.80,0,12,8,0,3,5,0,0,21,6,9
Kristina Maksuti,al ALB,FW,SV Meppen,29-308,1993,9,9,674,1,0,0,0,2,0,0.8,0.8,0.1,3f625299,4ed1418c,17,8,20.6,1,0.05,+0.2,+0.2,108,216,1576,438,3,11,3,0,2,0,2,0,1,1,0,0,4,0,285,5,23,167,97,22,285,1,4,229,30,1,1,1.88,17,8,+9,+1.97,10.4,7.2,+3.2,+0.14,0,16,20,6,1,1,0,0,22,25,17
Anna Margraf,au AUS,FW,SV Meppen,21-218,2001,9,6,558,1,0,0,0,1,0,0.7,0.7,0.2,53836ede,4ed1418c,10,6,18.3,0,0.07,+0.3,+0.3,66,128,1050,320,5,5,1,1,7,6,1,0,6,1,5,3,3,0,206,7,43,93,72,11,206,4,11,106,24,0,1,,,,,,,,,,0,4,1,2,11,4,0,0,40,4,11
Lara Marti,ch SUI,DF,Leverkusen,23-081,1999,6,6,540,0,1,0,0,1,0,0.1,0.1,0.1,e22dd915,c6d4860a,3,0,27.8,0,0.03,-0.1,-0.1,329,434,5716,2318,2,31,2,2,11,7,1,3,6,2,4,13,8,0,495,14,174,216,108,1,495,4,14,275,7,4,0,1.63,10,5,+5,+2.03,6.8,7.3,-0.4,+0.35,0,6,1,0,15,8,0,0,46,2,0
Shekiera Martinez,de GER,FW,E. Frankfurt,21-160,2001,7,1,222,4,0,0,0,0,0,1.3,1.3,0.5,7fe47b81,97b7c0e8,9,4,13.7,0,0.15,+2.7,+2.7,52,81,814,266,2,2,5,4,4,2,0,2,2,0,2,0,2,0,112,3,6,43,64,9,112,4,7,79,24,6,3,2.50,1,1,0,-1.07,0.5,0.8,-0.3,-1.69,0,1,0,3,9,2,0,0,6,3,3
Saskia Matheis,de GER,"MF,FW",Werder Bremen,25-188,1997,9,7,644,1,0,0,0,2,0,0.5,0.5,0.2,483ad3df,7adbf480,15,7,26.5,0,0.04,+0.5,+0.5,125,220,2388,894,3,16,5,2,23,6,15,2,12,1,11,7,9,0,321,13,68,173,85,7,321,2,5,152,20,3,0,0.78,2,15,-13,-1.31,5.6,9.3,-3.7,-0.51,0,11,3,1,20,12,0,0,49,9,3
Sylwia Matysik,pl POL,DF,Leverkusen,25-205,1997,4,4,287,0,0,0,0,2,0,0.1,0.1,0.2,b2d4690f,c6d4860a,1,0,17.9,0,0.08,-0.1,-0.1,136,208,2404,1092,2,10,4,2,4,0,3,1,8,2,6,3,10,0,243,9,75,114,55,1,243,2,6,112,5,6,0,1.78,10,6,+4,+1.68,5.7,5.5,+0.2,+0.58,0,5,3,0,9,3,0,0,22,2,1
Wibke Meister,de GER,DF,Turbine Potsdam,27-274,1995,9,6,610,0,0,0,0,1,0,0.0,0.0,0.2,2d505124,de550500,0,0,,0,,0.0,0.0,203,320,3961,1844,2,19,1,0,18,12,4,2,15,7,8,5,22,1,385,47,201,139,48,0,385,3,7,141,0,3,1,2.78,10,0,+10,-0.89,8.4,2.0,+6.4,-0.57,0,2,5,0,3,11,0,0,40,4,4
Ereleta Memeti,xk KVX,"FW,MF",Hoffenheim,23-164,1999,9,9,715,4,2,0,0,0,0,2.4,2.4,1.3,d782c918,87705c62,18,7,15.7,0,0.13,+1.6,+1.6,140,185,1925,608,11,8,10,2,22,10,5,7,15,1,14,4,4,0,311,5,50,119,151,29,311,12,32,183,43,6,2,2.29,3,2,+1,-0.35,1.3,1.6,-0.3,-1.43,0,7,12,2,8,14,0,0,43,4,7
Christin Meyer,de GER,"FW,MF",Werder Bremen,22-058,2000,6,0,115,1,0,0,0,0,0,0.3,0.3,0.0,5de1a331,7adbf480,4,1,17.9,0,0.08,+0.7,+0.7,15,35,201,71,0,2,1,0,0,0,0,0,1,0,1,0,1,0,55,2,5,17,33,9,55,1,2,32,8,1,0,0.10,5,24,-19,+0.75,5.2,20.3,-15.1,-0.56,0,4,1,2,1,0,0,0,5,2,0
Janina Minge,de GER,"MF,DF",Freiburg,23-183,1999,9,9,810,8,0,0,0,0,0,3.2,3.2,1.3,7c63ff02,b4de690d,21,11,15.8,0,0.15,+4.8,+4.8,284,401,5550,2161,11,27,7,0,22,8,12,2,17,10,7,11,22,0,519,46,194,245,87,30,519,4,6,298,11,0,0,0.11,3,13,-10,+2.16,2.9,12.5,-9.6,+0.54,0,4,4,1,2,14,0,0,51,22,20
Carolina Moccagatta,,MF,MSV Duisburg,,,1,0,2,0,0,0,0,0,0,0.0,0.0,0.0,d3070f21,0580d9a9,0,0,,0,,0.0,0.0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,1,1,0,1,4,3.00,0,0,0,-2.31,0.1,0.0,+0.1,-0.04,0,0,1,0,0,0,0,0,0,0,0
Myrthe Moorrees,nl NED,DF,Köln,27-364,1994,9,9,810,1,0,0,0,2,0,0.6,0.6,0.1,3598f3b4,88ddc98e,7,2,16.5,2,0.08,+0.4,+0.4,394,502,7970,2988,1,22,1,1,12,9,3,0,12,8,4,19,32,0,600,79,393,194,17,7,600,0,0,347,0,0,0,3.00,29,5,+24,-2.56,21.8,5.7,+16.2,-0.51,0,11,4,0,4,6,0,1,65,16,10
Athanasia Moraitou,gr GRE,MF,SV Meppen,25-253,1997,9,4,434,0,0,0,0,1,0,0.1,0.1,0.4,69d39de8,4ed1418c,3,0,33.7,1,0.02,-0.1,-0.1,120,197,1967,611,6,12,3,1,9,3,6,0,1,1,0,3,5,1,229,7,66,125,41,0,229,1,6,124,6,7,2,2.63,10,1,+9,+1.42,7.4,0.5,+6.9,+1.50,0,7,5,0,13,2,0,0,40,2,1
Adrijana Mori,si SVN,FW,Turbine Potsdam,22-116,2000,2,1,83,0,0,0,0,0,0,0.0,0.0,0.0,3279d9c5,de550500,0,0,,0,,0.0,0.0,17,24,237,73,0,2,0,0,1,0,0,1,1,0,1,0,0,0,32,0,2,17,13,0,32,0,0,18,2,0,1,,,,,,,,,,0,2,0,0,0,1,0,0,4,0,2
Marie Müller,de GER,DF,Freiburg,22-139,2000,6,4,384,1,0,0,0,0,0,0.4,0.4,0.0,5650c52c,b4de690d,6,2,18.6,0,0.06,+0.6,+0.6,174,273,3544,1403,1,11,2,1,9,5,3,1,2,0,2,17,9,0,322,13,92,156,78,6,322,1,4,140,17,5,4,2.60,2,0,+2,+5.92,1.2,0.5,+0.7,+2.42,0,3,1,2,11,7,0,0,27,3,1
Kari Närdemann,de GER,GK,MSV Duisburg,26-154,1996,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,2672a131,0580d9a9,0,0,,0,,0.0,0.0,25,46,511,361,0,0,0,0,0,0,0,0,0,0,0,0,2,1,55,50,55,0,0,0,55,0,0,12,0,0,9,,,,,,,,,,0,0,0,0,0,0,0,0,3,1,0
Katharina Naschenweng,at AUT,DF,Hoffenheim,24-360,1997,9,9,804,5,1,0,0,1,0,0.8,0.8,1.9,ea029c1b,87705c62,11,8,22.4,3,0.07,+4.2,+4.2,327,454,6233,2931,13,35,14,5,21,8,8,5,12,8,4,12,22,0,558,32,199,239,126,12,557,2,13,258,18,5,1,0.88,5,12,-7,-1.47,2.2,9.3,-7.1,-0.41,0,4,6,0,40,12,0,0,67,3,1
Hanna Németh,hu HUN,DF,Werder Bremen,24-085,1998,8,8,720,0,0,0,0,0,0,,,,dff5a2cf,7adbf480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1.78,13,16,-3,-2.44,10.0,14.9,-4.9,-1.85,0,,,,,,,0,,,
Milena Nikolić,ba BIH,FW,Leverkusen,30-158,1992,1,0,4,0,0,0,0,0,0,0.1,0.1,0.0,07d673a8,c6d4860a,2,1,16.2,0,0.04,-0.1,-0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,2,4,0,0,3,1,0,1,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0
Sjoeke Nüsken,de GER,"DF,MF",E. Frankfurt,21-323,2001,10,10,900,0,0,0,0,0,0,0.5,0.5,0.2,0050cd30,97b7c0e8,13,3,16.8,0,0.04,-0.5,-0.5,553,701,11809,5000,3,40,5,1,20,6,11,3,14,3,11,33,30,1,820,74,395,368,60,13,820,7,13,519,13,2,0,2.71,14,0,+14,+0.96,9.6,2.3,+7.3,-0.05,0,6,9,0,6,15,0,0,118,22,21
Lena Oberdorf,de GER,MF,Wolfsburg,20-357,2001,8,8,626,1,1,0,0,0,0,1.5,1.5,0.8,74a0529b,a1393014,11,2,16.8,0,0.14,-0.5,-0.5,229,334,4178,1612,3,44,3,0,23,4,16,3,13,3,10,19,10,0,432,12,79,266,90,14,432,5,9,236,10,4,0,1.88,15,10,+5,+0.34,9.9,5.8,+4.1,+0.68,0,13,15,0,3,18,0,0,59,8,11
Lena Ostermeier,de GER,"DF,MF",Essen,26-071,1996,9,8,692,0,0,0,0,1,0,0.1,0.1,0.1,4e673b2e,becc1dd0,3,1,38.0,1,0.03,-0.1,-0.1,207,294,4117,1564,1,11,2,0,15,10,4,1,9,3,6,29,15,0,394,35,185,180,40,2,394,4,14,159,4,1,0,0.33,5,15,-10,+0.22,7.2,12.0,-4.8,-0.10,0,2,8,0,9,7,0,0,76,0,6
Selina Ostermeier,de GER,DF,Leverkusen,23-330,1999,8,5,442,0,0,0,0,1,0,0.0,0.0,0.2,9f140482,c6d4860a,1,0,32.5,0,0.02,0.0,0.0,289,377,5950,2532,4,28,1,1,6,2,3,1,4,3,1,11,13,0,418,22,203,181,37,2,418,1,3,251,3,2,0,2.38,8,2,+6,-2.32,7.3,3.9,+3.4,-1.66,0,7,1,0,7,3,1,0,42,6,4
Ewa Pajor,pl POL,FW,Wolfsburg,26-008,1996,8,6,510,8,4,0,0,0,0,6.8,6.8,1.5,d47a1efd,a1393014,41,16,11.0,0,0.17,+1.2,+1.2,97,148,1389,270,10,8,5,1,5,0,2,3,7,0,7,1,0,0,251,0,6,65,182,79,251,8,13,174,55,0,0,1.25,8,13,-5,+2.38,4.5,14.6,-10.1,+2.10,0,2,5,8,6,3,0,0,25,5,8
Jasmin Pal,at AUT,GK,Köln,26-109,1996,3,3,270,0,0,0,0,0,0,0.0,0.0,0.0,9e0a6794,88ddc98e,0,0,,0,,0.0,0.0,128,155,3158,2177,0,0,0,0,1,1,0,0,0,0,0,0,1,0,159,95,150,9,0,0,159,0,0,72,0,3,0,0.88,6,11,-5,+3.02,8.7,7.2,+1.6,+2.13,0,0,0,0,0,1,0,0,15,1,0
Kaitlyn Parcell,us USA,DF,MSV Duisburg,25-093,1997,6,5,468,2,0,0,0,0,0,0.4,0.4,0.1,c2b09bae,0580d9a9,3,2,11.7,0,0.14,+1.6,+1.6,94,171,1620,994,1,4,1,1,4,2,1,1,6,1,5,6,13,0,217,15,100,83,35,6,217,3,4,69,5,0,0,1.33,7,6,+1,+1.46,6.0,10.5,-4.4,+0.28,0,0,2,2,4,4,0,0,26,1,1
Tanja Pawollek,pl POL,MF,E. Frankfurt,23-327,1999,9,9,795,2,0,0,0,1,0,0.8,0.8,0.5,7737e984,97b7c0e8,12,3,16.2,1,0.06,+1.2,+1.2,324,419,5445,1772,7,37,0,0,10,3,7,0,12,3,9,11,12,0,492,19,105,334,58,7,492,1,2,299,8,3,0,1.33,5,5,0,+0.36,5.2,7.8,-2.6,+0.73,0,3,15,0,6,6,0,0,74,21,10
Glódís Perla Viggósdóttir,is ISL,DF,Bayern Munich,27-167,1995,10,10,900,1,0,0,0,0,0,0.8,0.8,0.3,ab0e7355,51ec22be,8,2,10.1,0,0.10,+0.2,+0.2,806,901,17028,6905,3,80,8,0,10,5,4,1,11,8,3,13,28,0,980,68,463,490,34,13,980,5,5,753,4,0,0,1.50,6,9,-3,-1.00,8.0,7.4,+0.6,-0.36,0,9,1,1,0,7,0,0,78,12,14
Anja Pfluger,de GER,MF,Essen,29-025,1993,9,8,622,0,1,0,0,3,0,0.1,0.1,0.1,a3dbdf28,becc1dd0,6,0,30.8,0,0.02,-0.1,-0.1,151,216,2473,781,4,16,0,0,8,2,4,2,9,1,8,17,5,0,271,14,59,169,47,2,271,1,3,117,1,6,1,2.43,9,3,+6,+1.90,4.7,2.0,+2.7,+0.12,0,18,7,0,6,2,0,0,55,5,5
Katharina Piljić,de GER,"DF,MF",Essen,19-097,2003,7,5,495,1,1,0,0,1,0,0.1,0.1,0.2,48cde73f,becc1dd0,3,1,24.0,0,0.04,+0.9,+0.9,144,209,2837,1282,2,18,1,0,8,3,4,1,15,4,11,19,9,2,277,35,127,145,16,2,277,6,9,132,6,2,0,0.33,2,12,-10,-0.86,6.2,8.3,-2.1,+1.33,0,2,1,0,1,6,0,0,53,0,2
Maria Plattner,at AUT,MF,Turbine Potsdam,21-219,2001,2,2,180,0,0,0,0,2,0,0.1,0.1,0.0,179f05f4,de550500,1,0,24.8,0,0.07,-0.1,-0.1,47,76,781,345,0,10,0,0,5,2,2,1,3,1,2,8,1,0,101,3,21,42,38,1,101,1,4,51,4,0,1,1.50,3,3,0,+0.15,5.3,3.3,+2.0,+0.57,0,3,0,1,5,4,0,0,11,0,0
Julia Pollak,de GER,DF,SV Meppen,20-216,2002,9,9,804,0,0,0,0,1,0,0.1,0.1,0.5,c639a95f,4ed1418c,3,0,18.9,1,0.05,-0.1,-0.1,281,464,5554,3158,9,15,3,1,38,19,17,2,21,7,14,20,23,0,586,62,304,206,82,5,586,3,6,216,3,3,1,0.11,4,20,-16,-0.19,4.6,17.0,-12.4,-0.49,0,10,10,0,24,22,0,0,61,13,4
Alexandra Popp,de GER,"FW,MF",Wolfsburg,31-249,1991,9,7,642,6,1,0,0,3,0,3.3,3.3,0.7,655e7bd0,a1393014,23,9,15.1,0,0.14,+2.7,+2.7,159,254,2966,850,10,17,9,5,14,2,6,6,13,1,12,7,7,0,355,8,28,177,150,42,355,4,11,230,42,0,0,1.78,15,15,0,-0.95,13.1,13.8,-0.7,+1.74,0,9,9,7,15,8,0,0,27,30,12
Lara Prašnikar,si SVN,FW,E. Frankfurt,24-125,1998,10,10,833,5,1,0,0,0,0,4.5,4.5,1.2,08a0adb8,97b7c0e8,36,16,13.8,4,0.12,+0.5,+0.5,203,304,2772,796,16,21,5,0,13,3,5,5,12,0,12,0,2,0,423,3,18,177,229,60,423,9,21,293,67,0,1,,,,,,,,,,0,7,7,10,25,5,0,0,36,6,6
Linda Preuß,de GER,"FW,DF",SV Meppen,24-195,1998,4,0,34,0,0,0,0,0,0,0.0,0.0,0.0,527a88e0,4ed1418c,0,0,,0,,0.0,0.0,3,10,63,52,0,1,0,0,1,1,0,0,0,0,0,0,1,0,17,2,7,6,4,0,17,1,1,6,0,0,3,,,,,,,,,,0,2,0,0,1,1,0,0,4,0,0
Sarah Puntigam,at AUT,"MF,DF",Köln,30-059,1992,9,9,774,1,1,0,0,1,0,0.3,0.3,1.8,088dd3ef,88ddc98e,9,3,25.0,3,0.04,+0.7,+0.7,297,435,5717,2686,19,27,3,0,12,9,2,1,5,0,5,8,10,0,493,24,179,212,109,4,493,1,2,265,12,6,2,0.50,1,0,+1,+2.34,1.5,2.5,-1.1,-0.31,0,6,3,0,55,5,0,0,64,10,11
Nina Räcke,de GER,DF,Essen,21-085,2001,8,6,597,0,0,0,0,1,0,0.1,0.1,0.0,d0d2c2f8,becc1dd0,1,0,9.1,0,0.09,-0.1,-0.1,163,252,3681,1569,0,15,1,0,7,7,0,0,6,4,2,14,29,1,322,54,181,134,9,6,322,1,5,149,3,0,0,2.00,25,17,+8,,16.4,11.5,+4.9,,0,4,0,0,0,5,0,0,36,12,4
Laura Radke,de GER,"FW,DF",Turbine Potsdam,23-152,1999,6,1,160,0,0,0,0,0,0,0.0,0.0,0.0,8c19489e,de550500,1,1,23.2,0,0.02,0.0,0.0,44,65,861,277,0,5,1,0,2,1,1,0,0,0,0,4,0,0,85,2,14,41,31,1,85,1,1,53,5,1,0,0.00,0,0,0,+0.89,0.0,0.0,0.0,+1.50,0,1,1,0,1,1,0,0,8,1,4
Maximiliane Rall,de GER,DF,Bayern Munich,29-023,1993,9,7,612,1,0,0,0,0,0,0.7,0.7,1.0,ce17abd1,51ec22be,10,5,18.2,0,0.07,+0.3,+0.3,329,429,5653,1889,10,22,11,6,18,7,5,6,7,1,6,9,15,0,497,16,106,213,182,16,497,2,7,305,34,0,0,1.00,10,17,-7,,11.7,13.3,-1.7,,0,2,7,2,24,10,0,0,34,7,9
Felicitas Rauch,de GER,DF,Wolfsburg,26-225,1996,8,8,631,1,4,0,0,0,0,0.3,0.3,2.4,01079eae,a1393014,6,5,21.7,1,0.05,+0.7,+0.7,342,462,6473,2810,21,32,9,4,11,6,5,0,2,0,2,11,5,0,518,10,155,201,165,11,518,5,12,276,18,5,0,1.33,3,8,-5,-1.99,3.0,8.0,-5.0,-0.86,0,0,8,1,56,6,0,0,42,3,1
Géraldine Reuteler,ch SUI,"FW,MF",E. Frankfurt,23-234,1999,9,9,684,2,3,0,0,0,0,2.8,2.8,2.4,f64daf84,97b7c0e8,20,9,16.0,0,0.15,-0.8,-0.8,240,305,3848,900,23,29,12,1,15,1,6,8,9,1,8,6,1,0,403,5,30,195,182,36,403,10,22,283,66,1,2,0.00,1,3,-2,+0.14,0.5,1.9,-1.4,+0.14,0,4,14,4,10,11,0,0,55,2,2
Annalena Rieke,de GER,MF,Essen,23-335,1999,7,3,369,0,0,0,0,0,0,0.9,0.9,0.3,71a57599,becc1dd0,14,3,19.6,0,0.06,-0.9,-0.9,78,120,1224,341,5,8,5,0,14,3,8,3,9,1,8,2,3,0,190,4,32,107,58,17,190,7,10,73,7,2,0,2.00,12,9,+3,-0.35,7.3,5.9,+1.5,-0.38,0,2,4,0,2,10,0,0,40,5,9
Nina Rolfes,de GER,"FW,MF",SV Meppen,23-109,1999,2,0,34,0,0,0,0,0,0,0.0,0.0,0.0,9fc29dfa,4ed1418c,0,0,,0,,0.0,0.0,7,11,191,64,0,0,0,0,1,1,0,0,0,0,0,1,0,0,15,1,11,4,0,0,15,0,0,9,0,0,6,0.00,1,4,-3,-2.38,0.1,3.5,-3.4,-2.10,0,0,0,0,0,1,0,0,1,0,1
Jill Roord,nl NED,"MF,FW",Wolfsburg,25-233,1997,8,7,599,5,0,0,0,0,0,2.8,2.8,0.9,443146ab,a1393014,25,10,16.0,0,0.11,+2.2,+2.2,241,289,4134,965,9,25,9,0,14,4,8,2,1,0,1,1,1,0,376,4,29,181,170,32,376,10,11,281,52,0,0,1.78,18,18,0,-15.00,13.8,16.6,-2.8,-2.47,0,5,5,0,8,7,0,0,47,3,6
Mollie Rouse,eng ENG,MF,Turbine Potsdam,24-014,1998,8,7,657,0,1,0,0,0,0,0.1,0.1,0.7,6b7d2ee4,de550500,4,1,31.0,0,0.03,-0.1,-0.1,186,252,3072,1006,7,19,6,2,15,6,7,2,13,3,10,12,7,0,345,14,76,191,82,9,345,5,13,195,20,0,1,0.38,5,14,-9,+0.87,,,,,0,7,17,1,3,12,0,0,61,5,4
Ivana Rudelic,hr CRO,FW,Bayern Munich,30-320,1992,1,0,6,0,0,0,0,0,0,0.1,0.1,0.0,144fb4d9,51ec22be,1,1,13.4,0,0.09,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0
Letícia Santos,br BRA,DF,E. Frankfurt,28-009,1994,3,1,106,0,1,0,0,0,0,0.3,0.3,0.6,c07cd3bc,97b7c0e8,4,3,18.9,0,0.07,-0.3,-0.3,61,73,1133,519,5,6,3,3,2,0,2,0,2,1,1,2,1,0,89,2,7,42,40,4,89,0,2,62,10,1,1,3.00,0,0,0,+0.10,0.1,0.2,-0.1,-2.45,0,0,1,1,7,2,0,0,2,0,0
Katharina Schiechtl,at AUT,"DF,MF",Werder Bremen,29-287,1993,6,5,450,0,0,0,0,0,0,0.3,0.3,0.1,39f22899,7adbf480,4,0,11.3,0,0.07,-0.3,-0.3,110,186,2327,1211,1,10,1,0,8,6,1,1,8,6,2,16,27,1,252,48,136,71,48,6,252,1,3,69,4,0,2,,,,,,,,,,0,7,1,1,1,5,0,0,31,4,2
Lea Schüller,de GER,FW,Bayern Munich,25-029,1997,10,7,598,6,1,0,0,0,0,5.3,5.3,0.7,4528b262,51ec22be,23,12,11.5,0,0.23,+0.7,+0.7,86,131,1082,236,7,5,6,0,6,0,2,4,3,0,3,0,4,0,195,5,9,60,127,37,195,0,5,163,45,0,0,2.30,23,13,+10,,17.4,7.1,+10.3,,0,5,7,7,3,5,0,0,11,7,3
Sarah Schulte,de GER,DF,SV Meppen,27-186,1995,9,9,810,0,0,0,0,0,0,0.1,0.1,0.1,15927b2c,4ed1418c,3,1,19.6,0,0.04,-0.1,-0.1,316,404,6854,2617,2,13,0,0,16,15,1,0,9,5,4,23,37,0,516,89,370,125,25,3,516,6,9,291,2,0,1,3.00,29,4,+25,+2.62,17.4,4.9,+12.5,-0.67,0,3,3,1,1,12,2,0,55,4,4
Viktoria Schwalm,de GER,MF,Turbine Potsdam,25-002,1997,4,4,334,0,0,0,0,1,0,0.2,0.2,0.1,109cdc0e,de550500,6,2,23.7,1,0.04,-0.2,-0.2,59,105,1038,376,2,7,4,0,3,1,0,2,3,0,3,3,0,0,136,0,21,74,43,4,136,2,5,85,8,0,3,,,,,,,,,,0,3,1,0,6,2,0,0,15,2,3
