Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Charlotte Fernandes,fr FRA,DF,Fleury,29-310,1993,9,6,571,0,0,0,0,1,0,0.3,0.3,0.2,adfaeb0e,4fcc2996,8,1,25.3,0,0.03,-0.3,-0.3,0,275,3205,2046,5,21,7,4,17,12,3,2,6,0,6,3,13,0,339,13,122,137,85,5,339,6,8,154,6,0,1,,,,,,,,,,0,8,4,1,12,14,0,0,37,1,5
Louise Fleury,fr FRA,"FW,MF",Paris FC,25-125,1997,10,6,544,1,0,0,0,0,0,1.2,1.2,1.4,d7c7d20f,28d9b675,10,5,15.1,0,0.10,+0.8,+0.8,0,235,1922,534,10,9,5,5,13,3,7,3,14,0,14,10,4,0,338,2,45,150,146,25,338,6,16,197,31,1,1,1.14,8,9,-1,-1.42,9.6,7.3,+2.3,+1.95,0,2,1,2,28,9,0,0,53,5,6
Sisca Folkertsma,nl NED,MF,Bordeaux,25-204,1997,3,2,164,0,0,0,0,0,0,,,,519a3fde,69dee2b0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,0,,,,,,,0,,,
Magnaba Folquet,fr FRA,"MF,FW",Paris S-G,19-038,2003,3,1,85,0,0,0,0,0,0,0.0,0.0,0.0,0223cd04,80595417,0,0,,0,,0.0,0.0,0,18,177,22,0,0,0,0,1,1,0,0,0,0,0,0,1,0,24,1,6,13,6,0,24,0,0,18,3,3,0,3.00,13,2,+11,+1.24,10.0,1.1,+8.8,+0.81,0,1,2,0,1,1,0,0,4,0,0
Airine Fontaine,fr FRA,"MF,FW",Fleury,18-113,2004,10,5,486,1,0,0,0,1,0,0.8,0.8,0.3,f47acf66,4fcc2996,9,5,13.9,0,0.09,+0.2,+0.2,0,131,1238,291,6,2,3,0,11,5,6,0,5,0,5,6,3,0,215,4,33,87,103,26,215,9,20,131,24,0,0,1.25,13,13,0,-0.36,8.3,12.5,-4.2,-0.37,0,6,5,2,7,10,0,0,42,2,2
Ode Fulutudilu,za RSA,FW,Fleury,32-308,1990,9,4,287,1,0,0,0,0,0,0.9,0.9,0.3,7f7f6e7c,4fcc2996,4,2,15.3,0,0.24,+0.1,+0.1,0,47,470,27,4,1,1,0,1,0,1,0,3,0,3,1,0,0,73,0,2,28,44,9,73,0,3,50,10,0,2,2.75,18,6,+12,-3.50,19.3,4.5,+14.8,-0.16,0,3,2,0,2,1,0,0,9,1,2
Kelly Gadéa,fr FRA,DF,Le Havre,30-360,1991,9,9,810,0,0,0,0,0,0,0.5,0.5,0.4,337c4f04,c57b7254,6,1,14.0,0,0.08,-0.5,-0.5,0,274,3809,1981,5,10,4,1,17,11,5,1,14,8,6,10,26,0,354,52,218,123,17,6,354,0,1,131,1,2,0,1.30,12,10,+2,+0.77,9.7,13.7,-4.0,-0.08,0,11,7,2,4,13,1,0,50,13,1
Maëlle Garbino,fr FRA,"FW,MF",Bordeaux,26-124,1996,11,11,951,7,1,0,0,1,0,4.7,4.7,2.2,67a49c37,69dee2b0,32,23,17.4,6,0.15,+2.3,+2.3,0,387,3984,1396,15,24,6,1,21,5,8,8,10,0,10,4,4,0,507,3,70,221,223,35,507,15,39,332,49,3,0,1.33,4,3,+1,-0.10,7.3,2.6,+4.7,+2.40,0,19,18,9,49,16,0,0,64,5,13
Christy Gavory,fr FRA,"MF,FW",Le Havre,24-220,1998,10,8,654,2,3,0,0,1,0,1.0,1.0,1.2,91034b4d,c57b7254,11,5,23.2,3,0.09,+1.0,+1.0,0,250,2572,1029,13,11,4,2,10,4,4,2,9,1,8,6,2,0,315,10,68,134,114,6,315,3,8,147,14,0,1,,,,,,,,,,0,13,4,0,44,9,0,0,57,2,3
Stéphanie Gbogou,ci CIV,"FW,MF",Soyaux,27-216,1995,9,3,348,2,0,0,0,2,0,1.5,1.5,0.0,42026d3e,b54d31b3,17,4,19.5,0,0.07,+0.5,+0.5,0,71,574,89,1,2,0,0,5,2,1,2,4,2,2,1,5,0,149,9,16,65,69,27,149,6,17,99,21,2,0,2.67,7,2,+5,-0.23,7.9,1.2,+6.7,+0.69,0,9,12,0,4,3,0,0,15,4,9
